,step,inc,att,discon_iters,equil_iters,total_iters,total_time,step_time,inc_time
0,1,1,1U,0,1,1.0,0.0,0.0,1.0
1,1,1,2,0,4,4.0,0.25,0.25,0.25
2,1,2,1,0,8,8.0,0.5,0.5,0.25
3,1,3,1U,0,9,9.0,0.5,0.5,0.25
4,1,3,2,0,9,9.0,0.625,0.625,0.125
5,1,4,1,0,4,4.0,0.75,0.75,0.125
6,1,5,1,0,3,3.0,0.875,0.875,0.125
7,1,6,1,0,2,2.0,1.0,1.0,0.125
