,step,inc,att,discon_iters,equil_iters,total_iters,total_time,step_time,inc_time
0,1,1,1U,0,1,1.0,0.0,0.0,1.0
1,1,1,2,0,4,4.0,0.25,0.25,0.25
2,1,2,1,0,4,4.0,0.5,0.5,0.25
3,1,3,1U,0,3,3.0,0.5,0.5,0.375
4,1,3,2,0,6,6.0,0.594,0.594,0.09375
5,1,4,1,0,4,4.0,0.688,0.688,0.09375
6,1,5,1,0,3,3.0,0.7809999999999999,0.7809999999999999,0.09375
7,1,6,1,0,3,3.0,0.922,0.922,0.1406
8,1,7,1,0,2,2.0,1.0,1.0,0.07812999999999999
